,animal,genotype,sex,recording,cell,dt,angiotensin,potassium,len_seg,activity,activity_5min,ISI,intraburst_freq,burst_length,burst_per_cell_per_sec,pos,freq_exist,f_count,burstL_exist,b_count,isi_exist,isi_count
112,3832,wt,m,210225_s1r2_Results.csv,Mean22,0.1,500,4,450.0,0.8977777777777777,0.9733333333333332,28.950000000000003,0.973181235924222,161.65,0.0066666666666666,1.0,1.0,29,1.0,23,1.0,25
113,3832,wt,m,210225_s1r2_Results.csv,Mean23,0.1,500,4,450.0,1.0577777777777777,1.2366666666666666,45.6,1.0954511308010555,,,1.0,1.0,29,,23,1.0,25
114,3832,wt,m,210225_s1r2_Results.csv,Mean24,0.1,500,4,450.0,0.82,1.0933333333333333,,1.7872753763963087,205.9,0.0022222222222222,1.0,1.0,29,1.0,23,,25
115,3832,wt,m,210225_s1r2_Results.csv,Mean25,0.1,500,4,450.0,0.6622222222222222,0.7999999999999999,51.55,1.1718699577736256,80.30000000000001,0.0066666666666666,1.0,1.0,29,1.0,23,1.0,25
116,3832,wt,m,210225_s1r2_Results.csv,Mean26,0.1,500,4,450.0,1.0422222222222222,1.1233333333333333,29.36666666666667,1.271261862071002,146.3,0.0088888888888888,1.0,1.0,29,1.0,23,1.0,25
117,3832,wt,m,210225_s1r2_Results.csv,Mean27,0.1,500,4,450.0,0.9555555555555556,1.01,43.0,1.1499046781933036,159.60000000000002,0.0066666666666666,1.0,1.0,29,1.0,23,1.0,25
118,3832,wt,m,210225_s1r2_Results.csv,Mean28,0.1,500,4,450.0,0.3799999999999999,0.3999999999999999,49.84,1.0583784059085537,14.28,0.0133333333333333,1.0,1.0,29,1.0,23,1.0,25
119,3832,wt,m,210225_s1r2_Results.csv,Mean29,0.1,500,4,450.0,0.8866666666666667,0.8666666666666667,30.425,1.1346227158540754,56.12500000000001,0.0111111111111111,1.0,1.0,29,1.0,23,1.0,25
120,3832,wt,m,210225_s1r2_Results.csv,Mean3,0.1,500,4,450.0,0.8622222222222222,0.8699999999999999,12.5,1.00218647453758,63.9,0.0133333333333333,1.0,1.0,29,1.0,23,1.0,25
121,3832,wt,m,210225_s1r2_Results.csv,Mean4,0.1,500,4,450.0,0.7666666666666666,0.9033333333333332,154.10000000000002,1.429859905777337,177.60000000000002,0.0044444444444444,1.0,1.0,29,1.0,23,1.0,25
