,bin,baseline_ca,pos,cell,recording,animal,ctrl
231,17.0,714.2170570209329,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
232,18.0,709.4201998700487,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
233,19.0,680.7465406707496,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
234,20.0,677.8059016080908,3,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
235,21.0,668.0076938582578,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
236,22.0,,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
237,23.0,683.5459114504847,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
238,24.0,672.9240581331468,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
239,25.0,,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
240,26.0,,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
241,27.0,,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
242,28.0,737.1434893405166,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
243,29.0,699.5400995106606,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
244,30.0,699.8798319232706,4,Mean2,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
245,-4.0,810.0117403565778,1,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
246,-3.0,787.831899910969,1,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
247,-2.0,795.1549523987411,1,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
248,-1.0,809.2237353417192,1,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
249,0.0,819.5393197337744,1,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
250,1.0,839.5743394947798,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
251,2.0,877.1616318227459,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
252,3.0,875.5293368639944,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
253,4.0,870.7817755160406,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
254,5.0,971.5475673426819,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
255,6.0,956.8509678795326,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
256,7.0,898.8324779922706,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
257,8.0,903.4000512972581,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
258,9.0,846.0924980065419,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
259,10.0,895.8109444009124,2,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
260,11.0,902.9367366384103,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
261,12.0,836.9594779499477,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
262,13.0,852.1544410961653,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
263,14.0,908.317661938872,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
264,15.0,848.1560243550878,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
265,16.0,838.4537505258073,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
266,17.0,844.759389888171,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
