"","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"ENSMUSG00000061665",2589.15595612421,-0.00065952066294181,0.050615866577098,0.911281862264046,0.989124205883834,"Cd2ap","Cd2ap","12488"
"ENSMUSG00000061666",173.353159495382,-0.0641764098663089,0.106219556887049,0.0334775660306643,0.355165799784623,"Gdpd1","Gdpd1","66569"
"ENSMUSG00000061669",0.0814272089559897,0.00078482764299766,0.065222419052929,0.802683145501486,NA,"Rpl34-ps2","Rpl34-ps2","623174"
"ENSMUSG00000061684",5.27045332155493,-0.00389571903711718,0.0649934988721022,0.585032844053482,NA,"Rpl21-ps8","Rpl21-ps8","637748"
"ENSMUSG00000061689",621.291036218572,-0.0351551904287273,0.0640193633077238,0.275996191032547,0.775049530293745,"Dlgap4","Dlgap4","228836"
"ENSMUSG00000061701",0,NA,NA,NA,NA,"Fbxw20","Fbxw20","434440"
"ENSMUSG00000061702",1.94763465197893,-0.0040357915474936,0.0652940465635068,0.284981718817916,NA,"Tmem91","Tmem91","320208"
"ENSMUSG00000061707",0,NA,NA,NA,NA,"Gm4871","Gm4871","231885"
"ENSMUSG00000061718",1.04491759457106,0.000371672873157729,0.0651802627513486,0.874926299146787,NA,"Ppp1r1b","Ppp1r1b","19049"
"ENSMUSG00000061723",1.79427561867504,-0.00168671301479998,0.0651491231592584,0.646344278347877,NA,"Tnnt3","Tnnt3","21957"
"ENSMUSG00000061724",0.704035329725891,-0.00105086943804804,0.0652043400438984,0.599397540162787,NA,"Gm2423","Gm2423",NA
"ENSMUSG00000061728",0.399964610514879,-0.00088728263949409,0.0652094167666453,0.725684390525444,NA,"Btnl7-ps","Btnl7-ps","195349"
"ENSMUSG00000061731",1195.80619423821,0.0520128674821635,0.0700960042216797,0.184377794629051,0.692664697674996,"Ext1","Ext1","14042"
"ENSMUSG00000061740",510.36663213153,-0.0141682198066112,0.0569688088470733,0.633409280760895,0.933333992343547,"Cyp2d22","Cyp2d22","56448"
"ENSMUSG00000061742",2.06396567039108,-0.00365083101825603,0.0651969590624261,0.447110770862412,NA,"Slc22a12","Slc22a12","20521"
"ENSMUSG00000061751",334.967766224884,-0.000493616897531125,0.0623337683857627,0.977724854650928,0.99711073898997,"Kalrn","Kalrn","545156"
"ENSMUSG00000061755",3196.83473415271,0.0610684858981769,0.0972447076644043,0.0502744002088136,0.423894930481928,"Bod1l","Bod1l","665775"
"ENSMUSG00000061758",2889.6898395281,0.000813142316649202,0.0595842544382121,0.974920291294837,0.99711073898997,"Akr1b10","Akr1b10","67861"
"ENSMUSG00000061759",307.423967033021,-0.0264655593046924,0.059359509829414,0.402696350871012,0.844647136330367,"Armt1","Armt1","73419"
"ENSMUSG00000061762",0.760638080505945,0.000393715201134197,0.0652026257547019,0.811703209021253,NA,"Tac1","Tac1","21333"
"ENSMUSG00000061769",0.39464754437318,0.00128415334543578,0.0652268917079585,0.531539822720658,NA,"Klra6","Klra6","16637"
"ENSMUSG00000061778",559.375911377232,-0.0190081201695729,0.0648198409124135,0.381829300214191,0.832377046692962,"Mospd2","Mospd2","76763"
"ENSMUSG00000061780",1670.89685272403,0.00367202215316608,0.0651572049289833,0.50330362982727,0.889501336277167,"Cfd","Cfd","11537"
"ENSMUSG00000061787",5540.65484789779,0.00681823242690922,0.0407409689143774,0.857907414495621,0.982180612145813,"Rps17","Rps17","20068"
"ENSMUSG00000061798",0.984299392642855,0.00337666971547406,0.0653048564915158,0.213722253027709,NA,"Olfr1204","Olfr1204","258455"
"ENSMUSG00000061802",0.177910009852329,0.000221014421074446,0.0652115455252039,0.922731292622482,NA,"Odad2","Odad2","74934"
"ENSMUSG00000061808",2.94373484955764,0.00484196887916842,0.0654368198588538,0.0873779544299747,NA,"Ttr","Ttr","22139"
"ENSMUSG00000061809",0,NA,NA,NA,NA,"Tbpl2","Tbpl2","227606"
"ENSMUSG00000061815",6.11110399764033,-0.00363083821682063,0.0650234852105751,0.585297018272265,NA,"Rufy4","Rufy4","435626"
"ENSMUSG00000061816",11.6821822789622,0.00378094706767083,0.0648144786568991,0.660218378006911,NA,"Myl1","Myl1","17901"
"ENSMUSG00000061825",0.185878582784652,1.83996275591052e-05,0.0652109932194301,0.923162762468939,NA,"Ces2c","Ces2c","234671"
"ENSMUSG00000061829",5.7625052264097,0.00255950293644827,0.0648100063426797,0.747367864668133,NA,"Vmn1r214","Vmn1r214","171248"
"ENSMUSG00000061833",1.28372822314264,-0.00052794784351605,0.0651832960688085,0.820703029736349,NA,"Gm6311","Gm6311","622313"
"ENSMUSG00000061838",4383.02836949719,0.00143729809131038,0.0609489501542307,0.948271480874676,0.99525885757354,"Suclg2","Suclg2","20917"
"ENSMUSG00000061843",0,NA,NA,NA,NA,"Vmn1r-ps32","Vmn1r-ps32",NA
"ENSMUSG00000061845",0,NA,NA,NA,NA,"Defa35","Defa35","100041688"
