,recording,pos,animal,genotype_2,control,genotype,start,dt,end,angiotensin,potassium,TTA-P2,isra,start_corr,end_corr,activity,num_events,len_seg,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,activity_pos1,freq_pos1,activity_pos2,freq_pos2,freq_exist,count,rel_activity,rel_intraburst_freq
61,220607_slice04_rec01_isra_results.csv,2,5255,wt,n,wt,6001.0,0.1,12100.0,500.0,4.0,,0.05,9301.0,10501.0,0.22575757575757568,27.09090909090909,120.0,38.06666666666667,0.5728227974479353,20.05,34.660000000000004,1.3,0.01083333333333329,0.37499999999999994,0.6156463516604564,0.22575757575757568,0.5728227974479353,1.0,10.0,0.5022773234675227,0.6961524801692363
62,220610_slice03_rec01_ctrl_dp_results.csv,1,5254,wt_ctrl,y,wt,0.0,0.1,3600.0,500.0,4.0,0.0,0.0,2400.0,3600.0,0.4666666666666666,56.0,120.0,28.36666666666667,0.8099119247408988,20.6,27.8,1.6,0.01333333333333328,0.4666666666666666,0.8099119247408988,,,1.0,10.0,0.7236424583287432,0.8991720159780646
63,220610_slice03_rec01_ctrl_dp_results.csv,2,5254,wt_ctrl,y,wt,3600.0,0.1,9600.0,500.0,4.0,0.0,0.0,6900.0,8100.0,0.38749999999999996,46.5,120.0,26.6,0.8478286562091355,25.25,31.675,1.3333333333333333,0.011111111111111084,0.4666666666666666,0.8099119247408988,0.38749999999999996,0.8478286562091355,1.0,9.0,0.8621303723276441,1.0303675489315458
64,220610_slice04_rec01_isra_results.csv,1,5254,wt,n,wt,0.0,0.10000000000000002,6000.0,500.0,4.0,,0.0,4800.0,6000.0,0.4229166666666666,50.75,120.0,32.61666666666667,0.6200081773778819,37.0,60.1,1.6,0.01333333333333328,0.4229166666666666,0.6200081773778819,,,1.0,12.0,0.6558009778604235,0.688339047426799
65,220610_slice04_rec01_isra_results.csv,2,5254,wt,n,wt,6001.0,0.10000000000000002,12005.0,500.0,4.0,,0.05000000000000001,9301.0,10501.0,0.2784722222222222,33.416666666666664,120.0,40.46666666666667,0.7502306817960974,32.0,39.875,1.25,0.010416666666666626,0.4229166666666666,0.6200081773778819,0.2784722222222222,0.7502306817960974,1.0,8.0,0.6195596403286475,0.9117565714183724
66,220610_slice05_rec01_isra_results.csv,1,5254,wt,n,wt,0.0,0.1,6100.0,500.0,4.0,,0.0,4900.0,6100.0,0.36979166666666663,44.375,120.0,5.050000000000001,0.6892522523092179,32.4,45.9,1.2,0.00999999999999996,0.36979166666666663,0.6892522523092179,,,1.0,14.0,0.5734220372917496,0.765214486037564
67,220610_slice05_rec01_isra_results.csv,2,5254,wt,n,wt,6101.0,0.1,12800.0,500.0,4.0,,0.05,9401.0,10601.0,0.21770833333333328,26.125,120.0,,0.6135361566415864,36.666666666666664,56.5,1.0,0.0083333333333333,0.36979166666666663,0.6892522523092179,0.21770833333333328,0.6135361566415864,1.0,10.0,0.48436894574321937,0.7456314920119123
68,230223_slice05_500pM_AngII_ctrl_results.ome.csv,1,114001,wt_ctrl,y,wt,0.0,0.1,4450.0,500.0,4.0,0.0,0.0,3250.0,4450.0,0.5253968253968253,63.04761904761905,120.0,29.82857142857143,0.7573699544049703,27.928571428571427,36.964285714285715,1.4285714285714286,0.011904761904761859,0.5253968253968253,0.7573699544049703,,,1.0,21.0,0.814713107846306,0.8408394146825219
69,230223_slice05_500pM_AngII_ctrl_results.ome.csv,2,114001,wt_ctrl,y,wt,4450.0,0.1,10450.0,500.0,4.0,0.0,0.0,7750.0,8950.0,0.21190476190476187,25.428571428571427,120.0,15.4,0.6237029407865865,24.38888888888889,39.72777777777778,1.2222222222222223,0.010185185185185144,0.5253968253968253,0.7573699544049703,0.21190476190476187,0.6237029407865865,1.0,12.0,0.47145685491342754,0.7579872013681384
70,230224_slice02_500pM_AngII_ctrl_results.csv,1,114002,wt_ctrl,y,wt,0.0,0.1,4450.0,500.0,4.0,0.0,0.0,3250.0,4450.0,0.7095833333333333,85.15,120.0,4.1000000000000005,0.8833507186793705,47.833333333333336,56.56666666666666,1.6666666666666667,0.013888888888888867,0.7095833333333333,0.8833507186793705,,,1.0,20.0,1.1003242022623658,0.9807044720136743
