"","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"ENSMUSG00000107520",0,NA,NA,NA,NA,"Gm3726","Gm3726",NA
"ENSMUSG00000107522",0,NA,NA,NA,NA,"Gm44988","Gm44988",NA
"ENSMUSG00000107523",0,NA,NA,NA,NA,"Gm44451","Gm44451",NA
"ENSMUSG00000107527",0,NA,NA,NA,NA,"Gm44239","Gm44239",NA
"ENSMUSG00000107530",0,NA,NA,NA,NA,"Vmn1r-ps16","Vmn1r-ps16",NA
"ENSMUSG00000107532",0,NA,NA,NA,NA,"Gm35931","Gm35931","115490382"
"ENSMUSG00000107533",0,NA,NA,NA,NA,"Gm44422","Gm44422",NA
"ENSMUSG00000107536",0,NA,NA,NA,NA,"Gm43955","Gm43955",NA
"ENSMUSG00000107539",0.271936697090649,-0.00234917196989991,0.124387065586762,0.710843193400596,NA,"Gm44790","Gm44790",NA
"ENSMUSG00000107540",0,NA,NA,NA,NA,"Gm43911","Gm43911",NA
"ENSMUSG00000107541",0.372444321076322,0.00251133225425664,0.124393830800335,0.602750463089712,NA,"Gm44336","Gm44336","108169196"
"ENSMUSG00000107543",0,NA,NA,NA,NA,"Gm34701","Gm34701",NA
"ENSMUSG00000107544",0,NA,NA,NA,NA,"Gm44426","Gm44426",NA
"ENSMUSG00000107545",0,NA,NA,NA,NA,"Gm44307","Gm44307",NA
"ENSMUSG00000107550",0,NA,NA,NA,NA,"Gm44726","Gm44726",NA
"ENSMUSG00000107551",0,NA,NA,NA,NA,"Gm4605","Gm4605","100043720"
"ENSMUSG00000107555",0,NA,NA,NA,NA,"Olfr795-ps1","Olfr795-ps1","257771"
"ENSMUSG00000107557",0,NA,NA,NA,NA,"Gm21940","Gm21940",NA
"ENSMUSG00000107562",0,NA,NA,NA,NA,"Gm44412","Gm44412",NA
"ENSMUSG00000107565",0,NA,NA,NA,NA,"Gm34314","Gm34314",NA
"ENSMUSG00000107566",0.196270544140419,0.00206540104825713,0.12437667417849,0.779841061172053,NA,"Gm44332","Gm44332",NA
"ENSMUSG00000107568",0.496939850124694,-0.00292885997103246,0.124407112591717,0.537015421116406,NA,"Gm18840","Gm18840","100417807"
"ENSMUSG00000107573",0,NA,NA,NA,NA,"Olfr1389","Olfr1389","259069"
"ENSMUSG00000107574",0,NA,NA,NA,NA,"Gm17834","Gm17834",NA
"ENSMUSG00000107575",0,NA,NA,NA,NA,"Gm44128","Gm44128",NA
"ENSMUSG00000107578",0,NA,NA,NA,NA,"Gm32536","Gm32536",NA
"ENSMUSG00000107581",0,NA,NA,NA,NA,"Gm44828","Gm44828",NA
"ENSMUSG00000107582",0,NA,NA,NA,NA,"Gm44133","Gm44133",NA
"ENSMUSG00000107584",10.6108255688971,0.00487820181282803,0.122685327142825,0.817881985255706,NA,"Gm18716","Gm18716",NA
"ENSMUSG00000107587",0,NA,NA,NA,NA,"Gm44989","Gm44989",NA
"ENSMUSG00000107588",0,NA,NA,NA,NA,"Gm45021","Gm45021",NA
"ENSMUSG00000107590",0,NA,NA,NA,NA,"Gm43897","Gm43897",NA
"ENSMUSG00000107591",0,NA,NA,NA,NA,"Gm6794","Gm6794","627833"
"ENSMUSG00000107592",0,NA,NA,NA,NA,"Tas2r145-ps3","Tas2r145-ps3","387518"
"ENSMUSG00000107594",0,NA,NA,NA,NA,"Tas2r142-ps5","Tas2r142-ps5","387520"
"ENSMUSG00000107596",0,NA,NA,NA,NA,"Gm18913","Gm18913","100417946"
"ENSMUSG00000107600",0,NA,NA,NA,NA,"Gm6308","Gm6308",NA
"ENSMUSG00000107601",0,NA,NA,NA,NA,"Gm2651","Gm2651","100040185"
"ENSMUSG00000107602",0,NA,NA,NA,NA,"Gm18691","Gm18691",NA
"ENSMUSG00000107604",2.87775197383294,-0.00435806115411612,0.123898397708624,0.717573021898652,NA,"Gm44041","Gm44041",NA
"ENSMUSG00000107609",0,NA,NA,NA,NA,"Gm20177","Gm20177",NA
"ENSMUSG00000107611",0,NA,NA,NA,NA,"Gm44131","Gm44131",NA
"ENSMUSG00000107612",0,NA,NA,NA,NA,"Gm44163","Gm44163",NA
"ENSMUSG00000107613",0,NA,NA,NA,NA,"Gm43927","Gm43927",NA
"ENSMUSG00000107615",0,NA,NA,NA,NA,"Olfr793-ps1","Olfr793-ps1","404427"
"ENSMUSG00000107616",0,NA,NA,NA,NA,"Gm7825","Gm7825",NA
"ENSMUSG00000107618",0,NA,NA,NA,NA,"Gm6261","Gm6261","621815"
"ENSMUSG00000107625",0,NA,NA,NA,NA,"Gm34149","Gm34149","102637303"
"ENSMUSG00000107626",0,NA,NA,NA,NA,"Gm44727","Gm44727",NA
"ENSMUSG00000107627",0,NA,NA,NA,NA,"Gm19244","Gm19244",NA
"ENSMUSG00000107628",0,NA,NA,NA,NA,"Gm44282","Gm44282",NA
"ENSMUSG00000107629",0,NA,NA,NA,NA,"Gm44011","Gm44011",NA
"ENSMUSG00000107630",0,NA,NA,NA,NA,"Gm44061","Gm44061",NA
"ENSMUSG00000107631",0,NA,NA,NA,NA,"Gm44233","Gm44233",NA
